FileName,CX,CY,W,H,Class
image no (137).jpg,1025,456,77,82,boots
image no (137).jpg,1276,247,129,170,vest
image no (137).jpg,1287,465,100,77,boots
image no (138).jpg,191,11,99,55,hardhat
image no (138).jpg,194,78,48,51,mask
image no (138).jpg,158,140,198,184,vest
image no (139).jpg,123,45,21,24,hardhat
image no (139).jpg,113,76,42,16,mask
image no (139).jpg,108,243,89,43,boots
image no (139).jpg,192,452,46,32,hardhat
image no (139).jpg,186,491,50,24,mask
image no (139).jpg,169,512,63,118,vest
image no (139).jpg,139,716,95,67,boots
image no (139).jpg,386,202,79,38,hardhat
image no (139).jpg,412,257,49,39,mask
image no (139).jpg,352,305,158,189,vest
image no (139).jpg,365,714,45,63,boots
image no (139).jpg,768,306,64,30,hardhat
image no (139).jpg,775,348,43,25,mask
image no (139).jpg,744,373,106,138,vest
image no (139).jpg,735,651,93,88,boots
image no (140).jpg,118,5,468,250,hardhat
image no (140).jpg,596,13,413,142,hardhat
image no (141).jpg,1,166,90,108,hardhat
image no (141).jpg,104,149,134,145,hardhat
image no (141).jpg,272,192,122,173,hardhat
image no (141).jpg,419,147,195,171,hardhat
image no (141).jpg,665,120,232,224,hardhat
image no (143).jpg,593,32,505,220,hardhat
image no (144).jpg,217,123,297,234,hardhat
image no (145).jpg,197,8,81,48,hardhat
image no (146).jpg,183,154,168,108,hardhat
image no (146).jpg,197,274,127,81,mask
image no (146).jpg,114,343,260,355,vest
image no (146).jpg,519,509,98,93,mask
image no (146).jpg,397,607,378,378,vest
image no (146).jpg,613,825,148,139,hardhat
image no (146).jpg,767,170,177,64,hardhat
image no (146).jpg,765,262,110,66,mask
image no (146).jpg,1286,96,120,85,hardhat
image no (146).jpg,1284,204,129,94,mask
image no (146).jpg,1203,312,320,393,vest
image no (147).jpg,83,16,94,57,hardhat
image no (147).jpg,224,37,97,77,hardhat
image no (147).jpg,405,24,117,72,hardhat
image no (148).jpg,335,26,87,53,hardhat
image no (149).jpg,129,236,120,81,hardhat
image no (150).jpg,283,61,169,79,hardhat
image no (151).jpg,370,196,82,49,hardhat
image no (151).jpg,582,124,84,74,hardhat
image no (151).jpg,705,120,121,52,hardhat
image no (151).jpg,368,307,142,193,vest
image no (151).jpg,562,242,140,272,vest
image no (151).jpg,719,259,195,298,vest
image no (152).jpg,65,20,1101,388,hardhat
image no (153).jpg,235,4,163,52,hardhat
image no (153).jpg,417,8,289,89,hardhat
image no (154).jpg,350,36,96,39,hardhat
image no (155).jpg,70,17,88,60,hardhat
image no (156).jpg,207,117,226,132,hardhat
image no (157).jpg,285,4,108,59,hardhat
image no (157).jpg,246,132,182,163,vest
image no (160).jpg,323,100,135,57,hardhat
image no (160).jpg,762,18,384,110,hardhat
image no (161).jpg,154,80,118,51,hardhat
image no (161).jpg,338,85,113,49,hardhat
image no (162).jpg,191,75,53,39,hardhat
image no (162).jpg,252,79,41,30,hardhat
image no (162).jpg,296,47,66,35,hardhat
image no (163).jpg,50,22,62,45,hardhat
image no (163).jpg,185,4,53,48,hardhat
image no (163).jpg,24,92,106,153,vest
image no (163).jpg,154,86,130,166,vest
image no (164).jpg,1097,221,271,181,hardhat
image no (164).jpg,1036,535,477,461,vest
image no (165).jpg,554,46,573,286,hardhat
image no (166).jpg,606,59,381,192,hardhat
image no (166).jpg,608,486,418,469,vest
image no (167).jpg,121,150,131,83,hardhat
image no (167).jpg,333,101,137,123,hardhat
image no (167).jpg,61,306,231,336,vest
image no (167).jpg,299,266,230,355,vest
image no (168).jpg,17,39,1432,1034,hardhat
image no (169).jpg,95,59,518,392,hardhat
image no (169).jpg,665,5,454,118,hardhat
image no (169).jpg,1388,2,457,189,hardhat
image no (169).jpg,54,541,485,483,vest
image no (169).jpg,634,196,464,782,vest
image no (169).jpg,1327,324,560,686,vest
image no (170).jpg,317,26,437,239,hardhat
image no (170).jpg,239,463,653,978,vest
image no (171).jpg,251,101,101,80,hardhat
image no (171).jpg,482,154,148,82,hardhat
image no (171).jpg,172,212,209,248,vest
image no (171).jpg,459,267,183,258,vest
image no (172).jpg,11,8,878,405,hardhat
image no (172).jpg,914,3,379,121,hardhat
image no (173).jpg,30,32,229,111,hardhat
image no (174).jpg,38,55,32,25,hardhat
image no (174).jpg,54,96,29,33,mask
image no (174).jpg,94,105,16,26,hardhat
image no (174).jpg,130,96,29,20,hardhat
image no (174).jpg,174,64,36,34,hardhat
image no (174).jpg,246,71,36,34,hardhat
image no (174).jpg,26,91,21,113,vest
image no (174).jpg,54,140,63,90,vest
image no (174).jpg,149,126,76,108,vest
image no (174).jpg,246,128,52,96,vest
image no (175).jpg,267,132,413,276,hardhat
image no (175).jpg,311,453,260,200,mask
image no (176).jpg,92,430,142,111,hardhat
image no (176).jpg,256,319,171,92,hardhat
image no (177).jpg,249,77,121,109,hardhat
image no (177).jpg,604,211,132,89,hardhat
image no (177).jpg,553,345,184,263,vest
image no (178).jpg,338,16,116,82,hardhat
image no (179).jpg,69,412,244,112,hardhat
image no (179).jpg,405,388,203,110,hardhat
image no (179).jpg,800,364,224,157,hardhat
image no (180).jpg,14,194,266,208,hardhat
image no (180).jpg,156,1,167,89,hardhat
image no (180).jpg,360,14,140,110,hardhat
image no (180).jpg,571,62,161,114,hardhat
image no (180).jpg,664,155,276,258,hardhat
image no (181).jpg,330,564,98,91,hardhat
image no (181).jpg,455,580,91,66,hardhat
image no (181).jpg,334,708,139,243,vest
image no (182).jpg,214,0,312,152,hardhat
image no (183).jpg,915,14,375,177,hardhat
image no (184).jpg,123,31,226,156,hardhat
image no (184).jpg,619,143,187,81,hardhat
image no (184).jpg,433,222,76,52,hardhat
image no (184).jpg,554,313,107,276,hardhat
image no (187).jpg,707,75,345,193,hardhat
image no (188).jpg,229,184,139,75,hardhat
image no (188).jpg,454,187,122,77,hardhat
image no (188).jpg,606,190,184,102,hardhat
image no (189).jpg,158,97,159,60,hardhat
image no (189).jpg,394,170,141,97,hardhat
image no (189).jpg,589,243,99,80,hardhat
image no (189).jpg,692,223,112,80,hardhat
image no (190).jpg,80,11,55,41,hardhat
image no (190).jpg,143,28,47,25,hardhat
image no (191).jpg,278,219,198,105,hardhat
image no (191).jpg,491,154,149,98,hardhat
image no (191).jpg,708,179,85,88,hardhat
image no (191).jpg,816,162,150,93,hardhat
image no (193).jpg,159,192,122,156,hardhat
image no (193).jpg,384,176,207,195,hardhat
image no (194).jpg,194,102,96,82,hardhat
image no (194).jpg,302,121,76,83,hardhat
image no (195).jpg,255,754,596,529,hardhat
image no (195).jpg,1423,827,693,590,hardhat
image no (195).jpg,2292,651,961,517,hardhat
image no (195).jpg,3739,1113,596,377,hardhat
image no (195).jpg,4584,827,584,444,hardhat
image no (196).jpg,171,7,232,163,hardhat
image no (196).jpg,48,325,456,448,vest
image no (197).jpg,140,185,21,17,hardhat
image no (197).jpg,174,272,12,18,hardhat
image no (197).jpg,186,345,12,13,hardhat
image no (197).jpg,194,253,18,19,hardhat
image no (197).jpg,218,227,28,19,hardhat
image no (197).jpg,258,172,20,16,hardhat
image no (198).jpg,178,38,83,75,hardhat
image no (198).jpg,401,63,116,88,hardhat
image no (199).jpg,638,52,365,234,hardhat
image no (200).jpg,40,38,134,45,hardhat
image no (200).jpg,199,40,46,36,hardhat
image no (200).jpg,270,33,57,47,hardhat
image no (200).jpg,350,29,44,36,hardhat
image no (201).jpg,311,147,177,108,hardhat
image no (201).jpg,728,97,186,118,hardhat
image no (201).jpg,1010,41,261,175,hardhat
image no (202).jpg,60,69,347,236,hardhat
image no (202).jpg,542,64,296,181,hardhat
image no (202).jpg,939,117,278,152,hardhat
image no (203).jpg,112,105,146,77,hardhat
image no (203).jpg,366,126,110,69,hardhat
image no (203).jpg,577,124,134,54,hardhat
image no (203).jpg,770,141,114,45,hardhat
image no (204).jpg,228,156,478,254,hardhat
image no (205).jpg,58,203,369,192,hardhat
image no (205).jpg,497,16,478,290,hardhat
image no (206).jpg,247,152,229,77,hardhat
image no (206).jpg,64,116,197,107,hardhat
image no (206).jpg,554,126,209,71,hardhat
image no (206).jpg,857,131,167,71,hardhat
image no (206).jpg,1048,115,174,66,hardhat
image no (207).jpg,420,85,444,232,hardhat
image no (207).jpg,179,575,857,276,vest
image no (208).jpg,114,247,732,402,hardhat
image no (208).jpg,137,878,764,460,vest
image no (209).jpg,48,45,619,240,hardhat
image no (210).jpg,352,51,272,144,hardhat
image no (210).jpg,669,16,254,160,hardhat
image no (210).jpg,146,247,489,336,vest
image no (210).jpg,654,247,335,323,vest
image no (211).jpg,22,32,284,170,hardhat
image no (211).jpg,478,13,287,135,hardhat
image no (212).jpg,49,43,128,77,hardhat
image no (212).jpg,188,84,110,65,hardhat
image no (213).jpg,195,121,239,100,hardhat
image no (213).jpg,501,105,244,89,hardhat
image no (213).jpg,695,250,230,94,hardhat
image no (213).jpg,963,97,241,129,hardhat
image no (213).jpg,440,292,311,397,vest
image no (214).jpg,227,37,410,196,hardhat
image no (214).jpg,728,157,215,161,hardhat
image no (215).jpg,269,185,477,333,hardhat
image no (216).jpg,361,387,468,206,hardhat
image no (217).jpg,282,53,432,319,hardhat
image no (219).jpg,1291,134,717,344,hardhat
image no (219).jpg,1070,501,990,802,vest
image no (221).jpg,723,147,394,238,hardhat
image no (221).jpg,685,494,508,243,vest
image no (222).jpg,158,205,452,196,hardhat
image no (222).jpg,215,468,260,181,mask
image no (223).jpg,293,52,188,92,hardhat
image no (223).jpg,291,204,218,264,vest
image no (224).jpg,171,67,375,139,hardhat
image no (224).jpg,12,222,694,479,vest
image no (225).jpg,16,60,250,181,hardhat
image no (226).jpg,277,243,123,129,hardhat
image no (226).jpg,394,35,164,141,hardhat
image no (226).jpg,480,456,176,125,boots
image no (226).jpg,241,461,85,83,boots
image no (227).jpg,132,129,44,38,hardhat
image no (227).jpg,76,100,78,32,hardhat
image no (227).jpg,204,260,74,28,hardhat
image no (227).jpg,190,282,70,71,vest
image no (227).jpg,109,160,50,96,vest
image no (227).jpg,57,112,49,103,vest
image no (228).jpg,440,117,215,97,hardhat
image no (228).jpg,429,227,231,244,vest
image no (228).jpg,478,602,128,138,boots
image no (229).jpg,241,111,151,108,hardhat
image no (230).jpg,198,62,311,213,hardhat
image no (230).jpg,114,324,397,340,vest
image no (231).jpg,246,116,74,69,hardhat
image no (231).jpg,454,104,74,83,hardhat
image no (231).jpg,154,194,189,118,vest
image no (232).jpg,255,97,296,125,hardhat
image no (232).jpg,153,257,541,354,vest
image no (233).jpg,299,6,162,63,hardhat
image no (235).jpg,67,26,231,149,hardhat
image no (235).jpg,19,221,236,372,vest
image no (236).jpg,103,25,126,60,hardhat
image no (236).jpg,74,140,154,160,vest
image no (238).jpg,209,28,149,72,hardhat
image no (238).jpg,150,135,259,136,vest
image no (239).jpg,788,67,309,216,hardhat
image no (239).jpg,1172,105,266,211,hardhat
image no (239).jpg,680,316,401,332,vest
image no (239).jpg,1108,295,262,362,vest
image no (240).jpg,648,278,197,131,hardhat
image no (241).jpg,199,164,95,80,hardhat
image no (241).jpg,345,56,103,72,hardhat
image no (241).jpg,338,143,138,230,vest
image no (242).jpg,25,2,141,65,hardhat
image no (242).jpg,12,72,192,72,vest
image no (243).jpg,260,323,1383,930,hardhat
image no (244).jpg,80,15,203,75,hardhat
image no (244).jpg,399,35,192,96,hardhat
